"PVM";"Mario";"Luigi";"TÃ¤hdet"
"02/01/12";"Migi";"Arska";"MLL"
"04/01/12";"Migi";"Arska";"MLLL"
"05/01/12";"Migi";"Arska";"MM"
"05/01/12";"Petri";"Rontti";"MM"
"05/01/12";"Migi";"Arska";"MLM"
"09/01/12";"Migi";"Arska";"LL"
"10/01/12";"Migi";"Arska";"MM"
"11/01/12";"Migi";"Arska";"LL"
"12/01/12";"Migi";"Arska";"MLM"
"13/01/12";"Migi";"Arska";"LMM"
"16/01/12";"Migi";"Arska";"LML"
"18/01/12";"Migi";"Arska";"MLL"
"23/01/12";"Migi";"Arska";"LL"
"25/01/12";"Migi";"Arska";"LML"
"26/01/12";"Migi";"Arska";"MLL"
"27/01/12";"Migi";"Arska";"MM"
"27/01/12";"Migi";"Arska";"MLL"
"07/02/12";"Migi";"Arska";"LML"
"08/02/12";"Migi";"Arska";"LMM"
"09/02/12";"Migi";"Arska";"MM"
"10/02/12";"Migi";"Arska";"LMM"
"16/02/12";"Migi";"Arska";"MM"
"17/02/12";"Migi";"Arska";"MLL"
"21/02/12";"Migi";"Arska";"LL"
"29/02/12";"Migi";"Arska";"MLL"
"01/03/12";"Migi";"Arska";"LMM"
"09/03/12";"Migi";"Arska";"LLML"
"16/03/12";"Migi";"Arska";"MML"
"05/04/12";"Migi";"Arska";"LML"
